meter_id,region,has_solar,has_ev,date,total_consumption_kwh,total_solar_kwh,total_ev_kwh,peak_hour_consumption_kwh,avg_voltage_v,avg_temperature_c,fault_count,total_net_load_kwh
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/1/2025,41.386,0,8.696,3.456,230.1129167,13.02375,0,50.082
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/2/2025,40.748,0,12.633,3.602,230.0441667,13.16458333,0,53.381
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/3/2025,41.252,0,0,3.152,229.65,13.33958333,0,41.252
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/4/2025,40.888,0,10.309,3.712,230.0216667,13.87291667,0,51.197
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/5/2025,42.273,0,9.342,3.528,230.2879167,13.8575,0,51.615
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/6/2025,41.372,0,9.153,3.374,228.9495833,14.15041667,1,50.525
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/7/2025,40.363,0,1.278,3.34,230.3554167,14.35416667,0,41.641
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/8/2025,41.951,0,12.72,3.608,230.2516667,13.65,0,54.671
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/9/2025,39.455,0,23.407,3.761,229.51375,14.525,0,62.862
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/10/2025,40.708,0,10.949,3.527,229.9683333,14.50625,0,51.657
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/11/2025,40.787,0,6.007,3.372,230.0466667,14.98,0,46.794
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/12/2025,40.919,0,7.239,3.596,229.3779167,14.62,0,48.158
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/13/2025,40.502,0,22.42,3.319,230.1916667,15.17625,0,62.922
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/14/2025,40.979,0,4.26,3.571,230.255,14.70708333,0,45.239
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/15/2025,40.341,0,1.469,3.256,229.3079167,15.74416667,1,41.81
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/16/2025,40.96,0,9.801,3.526,229.7533333,15.20541667,0,50.761
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/17/2025,41.284,0,10.808,3.534,229.6354167,15.32166667,0,52.092
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/18/2025,39.842,0,15.247,3.183,230.1329167,15.44,0,55.089
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/19/2025,41.817,0,12.026,3.521,229.8620833,15.73833333,0,53.843
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/20/2025,41.242,0,18.679,3.457,230.19,15.77291667,0,59.921
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/21/2025,41.106,0,5.716,3.56,229.8858333,15.97041667,0,46.822
MTR-AMS-1045,Amsterdam,FALSE,TRUE,7/22/2025,41.977,0,13.08,3.715,230.93,15.81541667,0,55.057
